"content: USER","","","","","","","","","","",""
"id","username","password","email","first_name","last_name","is_superuser","is_staff","is_active","","",""
"11","1985-03-15","M","Giáo viên Tiếng Anh","https://example.com/teacher1.jpg","","","","","","",""
"12","1990-07-22","F","Giáo viên Tiếng Anh","https://example.com/teacher2.jpg","","","","","","",""
"13","1988-09-10","F","Giáo viên Tiếng Anh","https://example.com/teacher3.jpg","","","","","","",""
"14","1980-01-01","M","Quản trị viên hệ thống","https://example.com/admin.jpg","","","","","","",""
"","","","","","","","","","","",""
"content: TEST","","","","","","","","","","",""
"test_id","test_name","test_description","duration","","","","","","","",""
"1","Kiểm Tra Trình Độ Tiếng Anh TOEIC","Chào mừng bạn đến với bài kiểm tra TOEIC. Bài kiểm tra này sẽ đánh giá khả năng tiếng Anh của bạn thông qua hai phần: Reading và Listening. Hãy chuẩn bị sẵn sàng và làm bài một cách tập trung để có kết quả tốt nhất.
Bài kiểm tra gồm 2 phần chính:
Listening: Đánh giá khả năng nghe hiểu tiếng Anh
Reading: Đánh giá khả năng đọc hiểu tiếng Anh","Thời gian làm bài: 50 phút","","","","","","","",""
"","","","","","","","","","","",""
"content: QUESTION_MEDIA","","","","","","","","","","",""
"questionmedia_id","audio_file","paragraph","","","","","","","","",""
"1","aaaa","none","","","","","","","","",""
"2","aaaa","none","","","","","","","","",""
"3","aaaa","none","","","","","","","","",""
"4","aaaa","none","","","","","","","","",""
"5","aaaa","none","","","","","","","","",""
"6","none","Please be informed that the company’s annual health check-up will take place from May 10th to May 14th. All employees are required to schedule their appointments through the HR portal by May 5th. The check-up is mandatory and free of charge.","","","","","","","","",""
"7","none","Dear Mr. Chen,
We sincerely apologize for the delay in delivering your order #48923. Due to unexpected supply issues, your package will arrive three days later than expected. We truly value your business and have included a 10% discount coupon for your next purchase. Thank you for your understanding.","","","","","","","","",""
"8","none","Please be informed that the company’s annual health check-up will take place from May 10th to May 14th. All employees are required to schedule their appointments through the HR portal by May 5th. The check-up is mandatory and free of charge.","","","","","","","","",""
"9","none","Dear Mr. Chen,
We sincerely apologize for the delay in delivering your order #48923. Due to unexpected supply issues, your package will arrive three days later than expected. We truly value your business and have included a 10% discount coupon for your next purchase. Thank you for your understanding.","","","","","","","","",""
"10","none","Please be informed that the company’s annual health check-up will take place from May 10th to May 14th. All employees are required to schedule their appointments through the HR portal by May 5th. The check-up is mandatory and free of charge.","","","","","","","","",""
"","","","","","","","","","","",""
"content: QUESTION","","","","","","","","","","",""
"question_id","question_text","answer","correct_answer","test","question_media","","","","","",""
"1","(Audio) What does the woman want to do?","Take a bus;Take a train;Take a taxi;Walk to the station","B","1","1","","","","","",""
"2","(Audio) Where is the conversation likely taking place?","At a restaurant;At an airport;At a hotel;At a hospital","C","1","1","","","","","",""
"3","(Audio) What is the man concerned about?","Missing the deadline;  Losing his job; Being late; Forgetting his keys","A","1","1","","","","","",""
"4","(Audio) How much is the total bill?","At a restaurant;At an airport;At a hotel;At a hospital","C","1","2","","","","","",""
"5","(Audio) What time is the meeting scheduled for?","At a restaurant;At an airport;At a hotel;At a hospital","C","1","2","","","","","",""
"6","(Audio) Who is the woman speaking to?","At a restaurant;At an airport;At a hotel;At a hospital","D","1","2","","","","","",""
"7","(Audio) Why is the train delayed?","Bad weather;Technical issues;Staff strike;Accident on tracks","A","1","3","","","","","",""
"8","(Audio) What does the man offer to do?","Bad weather;Technical issues;Staff strike;Accident on tracks","A","1","3","","","","","",""
"9","(Audio) Where is the man going?","Bad weather;Technical issues;Staff strike;Accident on tracks","C","1","3","","","","","",""
"10","(Audio) What kind of food does the woman want?","Bad weather;Technical issues;Staff strike;Accident on tracks","B","1","4","","","","","",""
"11","(Audio) How will the woman pay?","Bad weather;Technical issues;Staff strike;Accident on tracks","C","1","4","","","","","",""
"12","(Audio) What is the weather like today?","Bad weather;Technical issues;Staff strike;Accident on tracks","B","1","4","","","","","",""
"13","(Audio) Who is calling?","Bad weather;Technical issues;Staff strike;Accident on tracks","C","1","5","","","","","",""
"14","(Audio) What’s the purpose of the call?","Bad weather;Technical issues;Staff strike;Accident on tracks","B","1","5","","","","","",""
"15","(Audio) What will happen next?","Bad weather;Technical issues;Staff strike;Accident on tracks","A","1","5","","","","","",""
"16","What is the main idea of the passage?","Bad weather;Technical issues;Staff strike;Accident on tracks","C","1","6","","","","","",""
"17","According to the passage, what caused the price increase?","Bad weather;Technical issues;Staff strike;Accident on tracks","B","1","6","","","","","",""
"18","What can be inferred from the article?","Bad weather;Technical issues;Staff strike;Accident on tracks","A","1","6","","","","","",""
"19","What is the author’s attitude toward the new law?","Bad weather;Technical issues;Staff strike;Accident on tracks","A","1","7","","","","","",""
"20","What is the purpose of the memo?","Bad weather;Technical issues;Staff strike;Accident on tracks","B","1","7","","","","","",""
"21","What does the word “significant” in paragraph 2 most likely mean?","Bad weather;Technical issues;Staff strike;Accident on tracks","B","1","7","","","","","",""
"22","What is NOT mentioned in the text?","Bad weather;Technical issues;Staff strike;Accident on tracks","A","1","8","","","","","",""
"23","What can be concluded from the report?","Bad weather;Technical issues;Staff strike;Accident on tracks","B","1","8","","","","","",""
"24","Who is the intended audience of this notice?","Bad weather;Technical issues;Staff strike;Accident on tracks","B","1","8","","","","","",""
"25","Which of the following is true?","Bad weather;Technical issues;Staff strike;Accident on tracks","D","1","9","","","","","",""
"26","What problem is mentioned in the email?","Bad weather;Technical issues;Staff strike;Accident on tracks","A","1","9","","","","","",""
"27","Why was the event cancelled?","Bad weather;Technical issues;Staff strike;Accident on tracks","C","1","9","","","","","",""
"28","What is the author mainly discussing?","Bad weather;Technical issues;Staff strike;Accident on tracks","A","1","10","","","","","",""
"29","What is the benefit of using the new system?","Bad weather;Technical issues;Staff strike;Accident on tracks","A","1","10","","","","","",""
"30","What recommendation does the author make?","Bad weather;Technical issues;Staff strike;Accident on tracks","D","1","10","","","","","",""
"","","","","","","","","","","",""
"content: RESULT","","","","","","","","","","",""
"result_id","score","total_questions","test_id","acc_id","create_at","","","","","",""
"1","25","30","1","1","2025-04-17 9:00:00","","","","","",""
"2","18","30","2","2","2025-04-17 9:10:00","","","","","",""
"3","30","30","1","3","2025-04-16 15:30:00","","","","","",""
"4","12","30","3","4","2025-04-15 11:45:00","","","","","",""
"5","22","30","2","5","2025-04-14 17:25:00","","","","","",""
"6","27","30","3","1","2025-04-13 8:15:00","","","","","",""
"7","14","30","1","2","2025-04-12 14:20:00","","","","","",""
"8","30","30","2","3","2025-04-11 9:50:00","","","","","",""
"9","9","30","3","4","2025-04-10 13:00:00","","","","","",""
"10","20","30","1","5","2025-04-09 10:10:00","","","","","",""
"","","","","","","","","","","",""
"content: DOCUMENT","","","","","","","","","","",""
"doc_id","doc_name","doc_file","","","","","","","","",""
"1","Thì hiện tại đơn","https://drive.google.com/file/d/1PJcQZjjWHjkVvjfBoLylN6X8o-xDfb-u/view","","","","","","","","",""
"2","Bài tập thì hiện tại đơn","https://drive.google.com/file/d/19vbTNVAcUg8PYt9WsXq9eRRD-8WaqnVM/view","","","","","","","","",""
"3","Thì quá khứ tiếp diễn","http://drive.google.com/file/d/1YVtecM6eR6yUbTILohOU1bo4mZZkrekG/view","","","","","","","","",""
"4","Đề thi thử TOEIC- Đề 1 2024","https://drive.google.com/file/d/16s6vAwHH8bRNlBR7DtKGoT7guUT_2E6y/view","","","","","","","","",""
"5","Đề thi thử TOEIC- Đề 2 2024","https://drive.google.com/file/d/1L86AiLrojel9Fudj1qWE-9voOgFFfHoC/view","","","","","","","","",""
"6","Đề thi thử TOEIC- Đề 1 2025","https://drive.google.com/file/d/148HbgX04jvvwY2I17kVGEMieV6PhXA-x/view","","","","","","","","",""
"7","Bài tập Câu hỏi đuôi","https://drive.google.com/file/d/18yS-hCTEAVoJ8qOmq98eHNyPSHMu55C2/view","","","","","","","","",""
"8","200+ mẫu câu giao tiếp căn bản thông dụng nhất","https://drive.google.com/file/d/1YhEnGSKy1jUQyzdubIk7BBg51YCIhCmh/view","","","","","","","","",""
"9","Bài tập chuyên đề Các thì trong tiếng Anh","https://drive.google.com/file/d/1iAivF7LwisxlVP1ZDflZNC-heZUB80up/view","","","","","","","","",""
"10","Bài tập về Thì quá khứ đơn và hiện tại hoàn thành","https://drive.google.com/file/d/1bLheBVbMXwud83-aHu2-_rAK6DgqHeRV/view","","","","","","","","",""
"","","","","","","","","","","",""
"content: COURSE","","","","","","","","","","",""
"course_id","course_name","description","price","des_teacher","teacher_name","image","","","","",""
"1","English Level 1 - Khóa nền tảng","Khóa học giúp học viên xây dựng nền móng vững chắc về tiếng Anh, đặc biệt phù hợp với những bạn mới bắt đầu hoặc đã từng học nhưng bị ""mất gốc"". Tất cả nội dung được giảng dạy theo phương pháp trực quan, dễ hiểu, tạo sự hứng thú và dễ tiếp thu.
Nội dung khóa học:
Rèn phát âm chuẩn theo bảng phiên âm quốc tế (IPA), nhấn âm đúng và luyện ngữ điệu cơ bản.
Mở rộng vốn từ vựng thông dụng theo chủ đề đời sống, giúp học viên tự tin khi bắt đầu giao tiếp.
Học các mẫu câu, cấu trúc cơ bản trong giao tiếp thường ngày.
Luyện kỹ năng nghe thông qua các đoạn hội thoại thực tế, dễ áp dụng.
Làm quen với kỹ năng đặt câu, viết câu đơn giản để mô tả bản thân, gia đình, công việc,…
Kết quả sau khóa học: Học viên có thể giao tiếp bằng những câu đơn giản, nghe hiểu các đoạn hội thoại cơ bản và viết được đoạn văn ngắn với cấu trúc chính xác.","1.850.000 VNĐ","TOEIC 980/990

Chứng chỉ TESOL quốc tế về phương pháp giảng dạy tiếng Anh cho người học không sử dụng tiếng Anh làm ngôn ngữ mẹ đẻ

Có nhiều năm kinh nghiệm giảng dạy tiếng Anh tại các trung tâm lớn ở Đà Nẵng và TP. Hồ Chí Minh, đặc biệt trong các khóa luyện thi TOEIC, Giao tiếp và nền tảng.

Phong cách dạy học nhiệt tình – dễ hiểu – gần gũi, luôn đặt mục tiêu truyền cảm hứng và kết quả học tập của học viên lên hàng đầu.

","Mr Lam","https://images.app.goo.gl/fGhEVqFuA8orNPYy8","","","","",""
"2","English Level 2 - Khóa Listening & Reading","Khóa học chuyên luyện thi TOEIC cho 2 kỹ năng Nghe (Listening) và Đọc hiểu (Reading), dành cho học viên đã hoàn thành khóa nền tảng hoặc có trình độ tương đương A2. Nội dung được biên soạn sát với đề thi thật, giúp học viên làm quen với định dạng đề và chiến lược làm bài hiệu quả.
Nội dung khóa học:
+ Luyện kỹ năng nghe từng phần: tranh, hội thoại ngắn, hội thoại dài, thông báo – với kỹ thuật nghe từ khóa, đoán ý, xử lý nhanh.
+ Luyện kỹ năng đọc: điền từ, đọc hiểu đoạn văn, kỹ thuật scanning, skimming và quản lý thời gian làm bài.
+ Học và áp dụng các dạng ngữ pháp hay xuất hiện trong bài thi TOEIC.
+ Hệ thống từ vựng theo chủ đề chuyên sâu, ứng dụng vào cả Listening và Reading.
Cam kết đầu ra: Học viên đạt tối thiểu 650+ TOEIC nếu theo đúng lộ trình và đảm bảo chuyên cần – chất lượng được kiểm chứng qua hàng trăm học viên trước.","2.050.000 VNĐ","Cử nhân Sư phạm tiếng Anh – Đại học Ngoại ngữ Đà Nẵng

IELTS 8.0

Chứng chỉ TESOL quốc tế

6 năm kinh nghiệm dạy TOEIC và Giao tiếp cho người đi làm

Phong cách giảng dạy hài hước, truyền cảm hứng và chú trọng ứng dụng thực tế","Ms Van","https://scontent.fdad1-4.fna.fbcdn.net/v/t39.30808-6/488658924_1086802283484212_2816678413615585609_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=cc71e4&_nc_ohc=KPhaGJq2txQQ7kNvwF1IuXW&_nc_oc=Adlk6K2dDgEr_0SEuXgkbA1T0ZueIQQyw9wrzqQ2Pi3VxltSU1C8D1PSp5no3caXZVM&_nc_zt=23&_nc_ht=scontent.fdad1-4.fna&_nc_gid=tEqRtL3cXidrVKyBvIH-Hw&oh=00_AfGwcZnY_O26rOnFK7ImN_m4CejDFzsD4JmSBH0naq5CZw&oe=6807D047","","","","",""
"3","English Level 3 - Khóa Writing & Speaking","Khóa học chuyên sâu giúp học viên phát triển 2 kỹ năng Viết và Nói, cần có nền tảng Listening - Reading vững.
Nội dung khóa học:
+ Luyện viết các dạng bài từ cơ bản đến nâng cao: viết đoạn, viết email, viết báo cáo, viết bài luận theo chuẩn thi IELTS, TOEIC Writing.
+ Cách tổ chức bài viết mạch lạc, logic: mở bài – thân bài – kết luận.
+ Luyện nói theo chủ đề, tình huống thực tế: giới thiệu bản thân, trình bày ý kiến, giải thích, phản biện.
+ Chỉnh sửa phát âm, nhấn âm, ngữ điệu và tăng cường phản xạ giao tiếp.
+ Thực hành nói 1-1 với giáo viên để cải thiện sự tự tin và tự nhiên trong giao tiếp.
Sau khóa học: Học viên có thể tự tin viết và trình bày quan điểm cá nhân một cách mạch lạc, rõ ràng, logic; phát âm chuẩn và nói lưu loát trong các tình huống thực tế và trong phòng thi.","2.500.000 VNĐ","Cử nhân Ngôn ngữ Anh – Đại học Quốc tế Hồng Bàng

TOEIC 960

4 năm kinh nghiệm giảng dạy tiếng Anh cho sinh viên & người mất gốc

Giảng dạy bài bản, kỹ lưỡng, sát với đề thi thực tế
","Ms Oanh","https://langmaster.edu.vn/storage/images/2024/12/09/1-kem-1-800x400.webp","","","","",""
"4","English Level 3 - Khóa Writing & Speaking","Khóa học chuyên sâu giúp học viên phát triển 2 kỹ năng Viết và Nói, cần có nền tảng Listening - Reading vững.
Nội dung khóa học:
+ Luyện viết các dạng bài từ cơ bản đến nâng cao: viết đoạn, viết email, viết báo cáo, viết bài luận theo chuẩn thi IELTS, TOEIC Writing.
+ Cách tổ chức bài viết mạch lạc, logic: mở bài – thân bài – kết luận.
+ Luyện nói theo chủ đề, tình huống thực tế: giới thiệu bản thân, trình bày ý kiến, giải thích, phản biện.
+ Chỉnh sửa phát âm, nhấn âm, ngữ điệu và tăng cường phản xạ giao tiếp.
+ Thực hành nói 1-1 với giáo viên để cải thiện sự tự tin và tự nhiên trong giao tiếp.
Sau khóa học: Học viên có thể tự tin viết và trình bày quan điểm cá nhân một cách mạch lạc, rõ ràng, logic; phát âm chuẩn và nói lưu loát trong các tình huống thực tế và trong phòng thi.","2.500.000 VNĐ","Tốt nghiệp loại Giỏi – Đại học Kinh tế TP.HCM, chuyên ngành Quốc tế học

TOEIC 975

Có kinh nghiệm dạy luyện thi TOEIC và giao tiếp cho hơn 500 học viên

Tư duy logic, dạy dễ hiểu, sát đề và truyền động lực học","Mr Tai","https://images.app.goo.gl/fGhEVqFuA8orNPYy8","","","","",""
"5","English Level 1 - Khóa nền tảng","Khóa học giúp học viên xây dựng nền móng vững chắc về tiếng Anh, đặc biệt phù hợp với những bạn mới bắt đầu hoặc đã từng học nhưng bị ""mất gốc"". Tất cả nội dung được giảng dạy theo phương pháp trực quan, dễ hiểu, tạo sự hứng thú và dễ tiếp thu.
Nội dung khóa học:
Rèn phát âm chuẩn theo bảng phiên âm quốc tế (IPA), nhấn âm đúng và luyện ngữ điệu cơ bản.
Mở rộng vốn từ vựng thông dụng theo chủ đề đời sống, giúp học viên tự tin khi bắt đầu giao tiếp.
Học các mẫu câu, cấu trúc cơ bản trong giao tiếp thường ngày.
Luyện kỹ năng nghe thông qua các đoạn hội thoại thực tế, dễ áp dụng.
Làm quen với kỹ năng đặt câu, viết câu đơn giản để mô tả bản thân, gia đình, công việc,…
Kết quả sau khóa học: Học viên có thể giao tiếp bằng những câu đơn giản, nghe hiểu các đoạn hội thoại cơ bản và viết được đoạn văn ngắn với cấu trúc chính xác.","1.850.000 VNĐ","TOEIC 980/990 | Chứng chỉ TESOL quốc tế

Kinh nghiệm nhiều năm giảng dạy tại các trung tâm lớn ở Đà Nẵng & TP.HCM

Phong cách dạy chuyên nghiệp, dễ hiểu, luôn truyền cảm hứng cho học viên
","Mr Hung","https://images.app.goo.gl/fGhEVqFuA8orNPYy8","","","","",""
"6","English Level 2 - Khóa Listening & Reading","Khóa học chuyên luyện thi TOEIC cho 2 kỹ năng Nghe (Listening) và Đọc hiểu (Reading), dành cho học viên đã hoàn thành khóa nền tảng hoặc có trình độ tương đương A2. Nội dung được biên soạn sát với đề thi thật, giúp học viên làm quen với định dạng đề và chiến lược làm bài hiệu quả.
Nội dung khóa học:
+ Luyện kỹ năng nghe từng phần: tranh, hội thoại ngắn, hội thoại dài, thông báo – với kỹ thuật nghe từ khóa, đoán ý, xử lý nhanh.
+ Luyện kỹ năng đọc: điền từ, đọc hiểu đoạn văn, kỹ thuật scanning, skimming và quản lý thời gian làm bài.
+ Học và áp dụng các dạng ngữ pháp hay xuất hiện trong bài thi TOEIC.
+ Hệ thống từ vựng theo chủ đề chuyên sâu, ứng dụng vào cả Listening và Reading.
Cam kết đầu ra: Học viên đạt tối thiểu 650+ TOEIC nếu theo đúng lộ trình và đảm bảo chuyên cần – chất lượng được kiểm chứng qua hàng trăm học viên trước.","2.050.000 VNĐ","Cử nhân Sư phạm tiếng Anh – Đại học Ngoại ngữ Huế

TOEIC 950, IELTS Speaking 7.5

Hơn 5 năm giảng dạy TOEIC, giao tiếp & tiếng Anh nền tảng cho người đi làm

Thế mạnh: chỉnh sửa phát âm – luyện nói phản xạ","Ms Ngan","https://images.app.goo.gl/fGhEVqFuA8orNPYy8","","","","",""
"7","English Level 1 - Khóa nền tảng","Khóa học giúp học viên xây dựng nền móng vững chắc về tiếng Anh, đặc biệt phù hợp với những bạn mới bắt đầu hoặc đã từng học nhưng bị ""mất gốc"". Tất cả nội dung được giảng dạy theo phương pháp trực quan, dễ hiểu, tạo sự hứng thú và dễ tiếp thu.
Nội dung khóa học:
Rèn phát âm chuẩn theo bảng phiên âm quốc tế (IPA), nhấn âm đúng và luyện ngữ điệu cơ bản.
Mở rộng vốn từ vựng thông dụng theo chủ đề đời sống, giúp học viên tự tin khi bắt đầu giao tiếp.
Học các mẫu câu, cấu trúc cơ bản trong giao tiếp thường ngày.
Luyện kỹ năng nghe thông qua các đoạn hội thoại thực tế, dễ áp dụng.
Làm quen với kỹ năng đặt câu, viết câu đơn giản để mô tả bản thân, gia đình, công việc,…
Kết quả sau khóa học: Học viên có thể giao tiếp bằng những câu đơn giản, nghe hiểu các đoạn hội thoại cơ bản và viết được đoạn văn ngắn với cấu trúc chính xác.","1.850.000 VNĐ","Cử nhân Ngôn ngữ Anh – Đại học Quốc tế Hồng Bàng

TOEIC 960 | TESOL được cấp bởi Đại học Arizona (Hoa Kỳ)

Từng giảng dạy tại TP.HCM, hiện là giảng viên chính tại Mr. Lam English

Giảng dạy bài bản, tận tâm và chuyên sâu theo năng lực từng học viên
","Mr Thang","https://images.app.goo.gl/fGhEVqFuA8orNPYy8","","","","",""
"8","English Level 3 - Khóa Writing & Speaking","Khóa học chuyên sâu giúp học viên phát triển 2 kỹ năng Viết và Nói, cần có nền tảng Listening - Reading vững.
Nội dung khóa học:
+ Luyện viết các dạng bài từ cơ bản đến nâng cao: viết đoạn, viết email, viết báo cáo, viết bài luận theo chuẩn thi IELTS, TOEIC Writing.
+ Cách tổ chức bài viết mạch lạc, logic: mở bài – thân bài – kết luận.
+ Luyện nói theo chủ đề, tình huống thực tế: giới thiệu bản thân, trình bày ý kiến, giải thích, phản biện.
+ Chỉnh sửa phát âm, nhấn âm, ngữ điệu và tăng cường phản xạ giao tiếp.
+ Thực hành nói 1-1 với giáo viên để cải thiện sự tự tin và tự nhiên trong giao tiếp.
Sau khóa học: Học viên có thể tự tin viết và trình bày quan điểm cá nhân một cách mạch lạc, rõ ràng, logic; phát âm chuẩn và nói lưu loát trong các tình huống thực tế và trong phòng thi.","2.500.000 VNĐ","Cử nhân Quản trị Kinh doanh Quốc tế - Đại học Kinh Tế Đà Nẵng

TOEIC 990/990

Kinh nghiệm giảng dạy hơn 1.000 học viên TOEIC tại TP.HCM

Kỹ năng sư phạm xuất sắc, chuyên luyện đề sát thực tế, cam kết điểm đầu ra","Ms Hien","https://images.app.goo.gl/fGhEVqFuA8orNPYy8","","","","",""
"9","English Level 1 - Khóa nền tảng","Khóa học giúp học viên xây dựng nền móng vững chắc về tiếng Anh, đặc biệt phù hợp với những bạn mới bắt đầu hoặc đã từng học nhưng bị ""mất gốc"". Tất cả nội dung được giảng dạy theo phương pháp trực quan, dễ hiểu, tạo sự hứng thú và dễ tiếp thu.
Nội dung khóa học:
Rèn phát âm chuẩn theo bảng phiên âm quốc tế (IPA), nhấn âm đúng và luyện ngữ điệu cơ bản.
Mở rộng vốn từ vựng thông dụng theo chủ đề đời sống, giúp học viên tự tin khi bắt đầu giao tiếp.
Học các mẫu câu, cấu trúc cơ bản trong giao tiếp thường ngày.
Luyện kỹ năng nghe thông qua các đoạn hội thoại thực tế, dễ áp dụng.
Làm quen với kỹ năng đặt câu, viết câu đơn giản để mô tả bản thân, gia đình, công việc,…
Kết quả sau khóa học: Học viên có thể giao tiếp bằng những câu đơn giản, nghe hiểu các đoạn hội thoại cơ bản và viết được đoạn văn ngắn với cấu trúc chính xác.","1.850.000 VNĐ","Cử nhân Ngôn ngữ Anh – Đại học Đà Nẵng

TOEIC 945 | TESOL từ ITTT UK

4 năm kinh nghiệm dạy tiếng Anh nền tảng và luyện phát âm

Phong cách dạy nhẹ nhàng, truyền cảm hứng cho học viên mất gốc","Mr Nguyen","https://images.app.goo.gl/fGhEVqFuA8orNPYy8","","","","",""
"10","English Level 3 - Khóa Writing & Speaking","Khóa học chuyên sâu giúp học viên phát triển 2 kỹ năng Viết và Nói, cần có nền tảng Listening - Reading vững.
Nội dung khóa học:
+ Luyện viết các dạng bài từ cơ bản đến nâng cao: viết đoạn, viết email, viết báo cáo, viết bài luận theo chuẩn thi IELTS, TOEIC Writing.
+ Cách tổ chức bài viết mạch lạc, logic: mở bài – thân bài – kết luận.
+ Luyện nói theo chủ đề, tình huống thực tế: giới thiệu bản thân, trình bày ý kiến, giải thích, phản biện.
+ Chỉnh sửa phát âm, nhấn âm, ngữ điệu và tăng cường phản xạ giao tiếp.
+ Thực hành nói 1-1 với giáo viên để cải thiện sự tự tin và tự nhiên trong giao tiếp.
Sau khóa học: Học viên có thể tự tin viết và trình bày quan điểm cá nhân một cách mạch lạc, rõ ràng, logic; phát âm chuẩn và nói lưu loát trong các tình huống thực tế và trong phòng thi.","2.500.000 VNĐ","TOEIC 990, IELTS 8.5

Sáng lập viên & giảng viên chính tại Mr. Lam English Center

Hơn 10 năm kinh nghiệm trong lĩnh vực giảng dạy tiếng Anh và đào tạo giáo viên

Phong cách truyền cảm hứng, định hướng học thuật rõ ràng, cam kết kết quả đầu ra
","Ms Anh","https://images.app.goo.gl/fGhEVqFuA8orNPYy8","","","","",""
"","","","","","","","","","","",""
"content: PAYMENT","","","","","","","","","","",""
"payment_id","QR","account_owner","account_number","bank_name","course_id","","","","","",""
"1","QR1001","Nguyễn Tiến Dầu","123456789","Vietcombank","1","","","","","",""
"2","QR1002","Trần Văn Nam","987654321","BIDV","2","","","","","",""
"3","QR1003","Lê Thị Mai","112233445","Techcombank","3","","","","","",""
"4","QR1004","Phạm Quang Huy","223344556","Sacombank","4","","","","","",""
"5","QR1005","Vũ Minh Tuấn","334455667","ACB","5","","","","","",""
"","","","","","","","","","","",""
"content: PAYMENT_INFO ","","","","","","","","","","",""
"paymentinfo_id","time_at","content","payment_id","id","","","","","","",""
"1","4/18/2025","Thanh toán cho khóa học 1","1","1","","","","","","",""
"2","4/19/2025","Thanh toán cho khóa học 1","1","2","","","","","","",""
"3","4/20/2025","Thanh toán cho khóa học 1","1","3","","","","","","",""
"4","4/21/2025","Thanh toán cho khóa học 1","1","4","","","","","","",""
"5","4/22/2025","Thanh toán cho khóa học 1","1","5","","","","","","",""
"6","4/18/2025","Thanh toán cho khóa học 2","2","6","","","","","","",""
"7","4/19/2025","Thanh toán cho khóa học 2","2","7","","","","","","",""
"8","4/20/2025","Thanh toán cho khóa học 2","2","8","","","","","","",""
"9","4/21/2025","Thanh toán cho khóa học 2","2","9","","","","","","",""
"10","4/22/2025","Thanh toán cho khóa học 2","2","10","","","","","","",""
"11","4/23/2025","Thanh toán cho khóa học 3","3","11","","","","","","",""
"12","4/24/2025","Thanh toán cho khóa học 3","3","12","","","","","","",""
"13","4/25/2025","Thanh toán cho khóa học 3","3","13","","","","","","",""
"14","4/26/2025","Thanh toán cho khóa học 3","3","14","","","","","","",""
"15","4/27/2025","Thanh toán cho khóa học 3","3","15","","","","","","",""
"16","4/28/2025","Thanh toán cho khóa học 4","4","16","","","","","","",""
"17","4/29/2025","Thanh toán cho khóa học 4","4","17","","","","","","",""
"18","4/30/2025","Thanh toán cho khóa học 4","4","18","","","","","","",""
"19","5/1/2025","Thanh toán cho khóa học 4","4","19","","","","","","",""
"20","5/2/2025","Thanh toán cho khóa học 4","4","20","","","","","","",""
"21","5/3/2025","Thanh toán cho khóa học 5","5","21","","","","","","",""
"22","5/4/2025","Thanh toán cho khóa học 5","5","22","","","","","","",""
"23","5/5/2025","Thanh toán cho khóa học 5","5","23","","","","","","",""
"24","5/6/2025","Thanh toán cho khóa học 5","5","24","","","","","","",""
"25","5/7/2025","Thanh toán cho khóa học 5","5","25","","","","","","",""
"","","","","","","","","","","",""
"content: CLASS","","","","","","","","","","",""
"class_id","class_name","course","begin_time","end_time","status","timetable","","","","",""
"1","KN_225","1","12/15/2024","4/15/2025","Đang học","Thứ 2-4-6 : 17h30","","","","",""
"2","KN_226","2","4/15/2025","7/15/2025","Chưa bắt đầu","Thứ 3-5-7: 17h30","","","","",""
